volume,titulo,author,status
1,Mob Pyscho 100,Unknown,FALTANDO
2,Mob Pyscho 100,Unknown,FALTANDO
3,Mob Pyscho 100,Unknown,FALTANDO
4,Mob Pyscho 100,Unknown,FALTANDO
5,Mob Pyscho 100,Unknown,FALTANDO
6,Mob Pyscho 100,Unknown,FALTANDO
7,Mob Pyscho 100,Unknown,FALTANDO
8,Mob Pyscho 100,Unknown,FALTANDO
9,Mob Pyscho 100,Unknown,FALTANDO
10,Mob Pyscho 100,Unknown,FALTANDO
1,teste,teste,Faltando
2,teste,teste,Faltando
3,teste,teste,Faltando
4,teste,teste,Faltando
5,teste,teste,Faltando
6,teste,teste,Faltando
7,teste,teste,Faltando
8,teste,teste,Faltando
9,teste,teste,Faltando
10,teste,teste,Faltando
